account_id,rating_region,industry,covered_lives_2025,annual_premium_2025,risk_score_2025,risk_band,renewal_month,account_status,prior_renewal_rate,prior_rate_mean,prior_rate_last,paid_claims_2025,process_cv
ACC00912,R48,Logistics,400,2661602.29,0.6816,0.50–0.99,6,Active,0.6666666666666666,11.666666666666666,5,1209912.33,0.14387097730894632
ACC00913,R12,Manufacturing,182,1278284.88,0.8352,0.50–0.99,5,Active,1.0,8.333333333333334,5,938431.69,0.2000060839094094
ACC00914,R30,Technology,561,4423648.53,1.043,1.00–1.49,10,Active,0.6666666666666666,8.333333333333334,5,3827333.26,0.12351673576430829
ACC00915,R19,Technology,749,3755947.15,0.3695,0.15–0.49,12,Active,0.3333333333333333,8.333333333333334,0,1386583.98,0.12289021964492945
ACC00916,R43,Professional services,166,1015603.28,1.9953,1.50–2.49,4,Active,1.0,16.666666666666668,25,2435606.2,0.1860243066756653
ACC00917,R23,Financial services,138,1025160.99,1.3859,1.00–1.49,2,Active,0.3333333333333333,8.333333333333334,10,682213.77,0.15738227299352028
ACC00918,R03,Manufacturing,417,2778663.34,0.6497,0.50–0.99,12,Active,1.0,10.0,10,1224892.84,0.11528759809221999
ACC00919,R08,Hospitality,362,2353715.33,1.6083,1.50–2.49,2,Active,1.0,0.0,15,4337116.59,0.12135792599258291
ACC00920,R24,Retail,225,1953819.79,1.1198,1.00–1.49,3,Active,0.6666666666666666,5.0,-5,2059863.64,0.17923365097380878
ACC00921,R23,Logistics,828,7226409.41,1.0696,1.00–1.49,10,Active,1.0,-1.6666666666666667,-5,5686883.04,0.08075060085926039
ACC00922,R27,Professional services,219,1911481.6,1.1127,1.00–1.49,7,Active,1.0,1.6666666666666667,10,1633440.19,0.15574551970497655
ACC00923,R38,Healthcare,108,539682.94,0.4459,0.15–0.49,4,Active,1.0,0.0,0,141459.9,0.2180436562510384
ACC00924,R14,Technology,141,952547.51,0.5935,0.50–0.99,7,Active,0.6666666666666666,0.0,-10,369025.17,0.17807303227479174
ACC00925,R17,Healthcare,190,1460290.4,0.7383,0.50–0.99,1,Active,0.3333333333333333,15.0,10,433585.0,0.16254609832414646
ACC00926,R31,Healthcare,162,1280896.58,3.2863,2.50–5.00,6,Active,1.0,13.333333333333334,20,4177333.75,0.13403398860096943
ACC00927,R12,Retail,76,445766.94,0.7687,0.50–0.99,4,Active,1.0,0.0,0,282442.32,0.24587656114440848
ACC00928,R37,Hospitality,132,664234.2,0.3413,0.15–0.49,3,Active,0.6666666666666666,10.0,5,212502.07,0.2651987120213264
ACC00929,R44,Professional services,153,751608.83,0.2435,0.15–0.49,11,Active,0.6666666666666666,-3.3333333333333335,-10,236971.1,0.190913737879298
ACC00930,R12,Professional services,167,1404844.67,1.7473,1.50–2.49,10,Active,1.0,8.333333333333334,10,2225484.1,0.1816974421609116
ACC00931,R09,Hospitality,326,2341871.23,0.7687,0.50–0.99,1,Active,1.0,10.0,5,1154469.19,0.13518697515175213
ACC00932,R07,Logistics,744,4277949.38,2.352,1.50–2.49,6,Active,1.0,10.0,5,11062671.35,0.07906851652719998
ACC00933,R25,Manufacturing,177,960801.01,0.4301,0.15–0.49,6,Active,0.6666666666666666,3.3333333333333335,0,326197.07,0.18663538435220317
ACC00934,R23,Professional services,135,1232173.99,2.4024,1.50–2.49,8,Active,1.0,10.0,15,1525857.74,0.1596395143319602
ACC00935,R39,Hospitality,270,1829201.83,0.2774,0.15–0.49,1,Active,1.0,8.333333333333334,10,462049.27,0.17108442222593864
ACC00936,R16,Manufacturing,93,482348.15,0.5834,0.50–0.99,8,Active,0.6666666666666666,1.6666666666666667,0,399615.88,0.26553470860787265
ACC00937,R29,Financial services,313,1929479.2,1.2707,1.00–1.49,7,Active,1.0,16.666666666666668,20,1590289.99,0.12580524895900205
ACC00938,R12,Retail,101,775614.95,0.743,0.50–0.99,1,Active,1.0,11.666666666666666,10,259162.84,0.23748073633005562
ACC00939,R11,Retail,80,609798.11,0.513,0.50–0.99,10,Active,0.6666666666666666,11.666666666666666,25,272796.99,0.30872541928217323
ACC00940,R14,Logistics,631,3455786.86,0.7907,0.50–0.99,7,Active,0.3333333333333333,11.666666666666666,0,2488949.44,0.09671996637290545
ACC00941,R34,Manufacturing,872,6587810.63,0.6778,0.50–0.99,8,Active,1.0,8.333333333333334,-5,3551737.46,0.10009184045456053
ACC00942,R05,Technology,780,5313701.79,0.5761,0.50–0.99,8,Active,0.3333333333333333,11.666666666666666,5,2665720.93,0.11754946525716108
ACC00943,R26,Retail,254,1259330.34,0.3282,0.15–0.49,1,Active,1.0,5.0,5,425713.74,0.20667538602189542
ACC00944,R27,Logistics,588,3087108.31,0.4029,0.15–0.49,12,Active,0.3333333333333333,10.0,5,933843.85,0.11495012942106798
ACC00945,R29,Professional services,230,1532320.03,0.2104,0.15–0.49,9,Active,0.3333333333333333,16.666666666666668,20,412437.1,0.21939439320754295
ACC00946,R02,Technology,177,953051.65,0.1656,0.15–0.49,10,Active,0.6666666666666666,3.3333333333333335,5,262448.31,0.22625294034136806
ACC00947,R32,Technology,62,320183.44,0.4741,0.15–0.49,10,Active,1.0,6.666666666666667,10,132850.21,0.2657022681218991
ACC00948,R10,Technology,1211,8719627.46,1.2935,1.00–1.49,6,Active,1.0,-3.3333333333333335,-10,8067981.67,0.09403793181268393
ACC00949,R16,Healthcare,95,732939.84,0.6141,0.50–0.99,2,Active,0.6666666666666666,15.0,20,272768.31,0.2077608765460459
ACC00950,R21,Logistics,263,2098995.94,0.816,0.50–0.99,4,Active,0.6666666666666666,8.333333333333334,5,1008382.3300000001,0.15622190215579182
ACC00951,R27,Technology,461,3703505.41,2.4126,1.50–2.49,2,Active,1.0,5.0,10,6066391.11,0.11030080343939376
ACC00952,R31,Retail,173,1126072.77,1.3986,1.00–1.49,9,Active,0.6666666666666666,8.333333333333334,10,1232167.51,0.20200316327472134
ACC00953,R14,Hospitality,125,786369.25,0.6207,0.50–0.99,2,Active,1.0,0.0,5,372084.46,0.21051350961494184
ACC00954,R05,Financial services,620,4427514.79,2.7385,2.50–5.00,2,Active,1.0,1.6666666666666667,-10,17148321.91,0.07089792071640691
ACC00955,R35,Professional services,115,837349.98,0.7035,0.50–0.99,1,Active,1.0,10.0,20,277000.86,0.2536260264690449
ACC00956,R01,Retail,90,565667.29,0.4194,0.15–0.49,7,Active,0.6666666666666666,10.0,10,220137.44,0.2754491978160638
ACC00957,R09,Financial services,189,1007483.6,0.8802,0.50–0.99,9,Active,0.6666666666666666,8.333333333333334,-10,567289.66,0.17549683936526114
ACC00958,R28,Professional services,425,2571500.86,0.6107,0.50–0.99,10,Active,1.0,-3.3333333333333335,0,2406515.54,0.274081871594462
ACC00959,R39,Retail,289,2033468.66,0.9725,0.50–0.99,1,Active,0.6666666666666666,16.666666666666668,25,1263658.45,0.20737103588116942
ACC00960,R07,Technology,377,2395652.89,0.9423,0.50–0.99,3,Active,0.6666666666666666,16.666666666666668,15,1372285.64,0.17894029124259045
ACC00961,R37,Manufacturing,204,982938.0,0.4674,0.15–0.49,9,Active,0.6666666666666666,8.333333333333334,15,399688.32,0.25595082808991687
ACC00962,R36,Manufacturing,724,6408731.25,2.9416,2.50–5.00,7,Active,1.0,8.333333333333334,5,20294400.46,0.08858516158480634
ACC00963,R47,Financial services,386,3473444.62,0.5952,0.50–0.99,4,Active,0.6666666666666666,10.0,5,1479378.67,0.14715577478578976
ACC00964,R30,Professional services,171,1413610.37,0.6632,0.50–0.99,7,Active,0.0,10.0,15,733506.14,0.1873436603591516
ACC00965,R38,Logistics,485,3047507.7,2.4132,1.50–2.49,6,Active,1.0,10.0,0,5322569.84,0.1125566268660071
ACC00966,R42,Manufacturing,178,1197741.5,4.6441,2.50–5.00,2,Active,1.0,8.333333333333334,5,4516907.74,0.1681634276039754
ACC00967,R27,Financial services,376,2592495.33,0.1819,0.15–0.49,12,Active,0.6666666666666666,11.666666666666666,20,681114.4,0.15343162832238966
ACC00968,R40,Hospitality,214,1336819.03,0.6752,0.50–0.99,9,Active,0.6666666666666666,3.3333333333333335,5,1018384.59,0.24231409874324683
ACC00969,R11,Manufacturing,494,3092642.55,0.8489,0.50–0.99,7,Active,1.0,-1.6666666666666667,0,1611964.59,0.135485241957373
ACC00970,R30,Technology,848,8133704.45,1.6729,1.50–2.49,10,Active,0.6666666666666666,10.0,25,9973451.55,0.07953018361824615
ACC00971,R24,Professional services,902,5032346.0,0.6173,0.50–0.99,1,Active,1.0,5.0,-5,2967553.87,0.08920467125887115
ACC00972,R48,Manufacturing,165,884939.99,0.3189,0.15–0.49,4,Active,1.0,1.6666666666666667,10,168214.44,0.2441250484196656
ACC00973,R19,Manufacturing,348,2494252.93,0.748,0.50–0.99,8,Active,1.0,3.3333333333333335,10,1304823.5,0.11797484471952766
ACC00974,R14,Logistics,273,1728226.62,0.2797,0.15–0.49,1,Active,0.6666666666666666,8.333333333333334,20,634071.51,0.21444200441356606
ACC00975,R16,Retail,62,440071.0,0.6499,0.50–0.99,3,Active,1.0,0.0,15,213307.11000000002,0.23526959008683698
ACC00976,R27,Manufacturing,337,1793881.58,0.5139,0.50–0.99,6,Active,0.6666666666666666,11.666666666666666,0,1368903.16,0.1361473964517958
ACC00977,R08,Hospitality,301,2103826.94,0.7868,0.50–0.99,11,Active,1.0,6.666666666666667,10,1058371.59,0.17148697557852347
ACC00978,R27,Manufacturing,519,3506947.88,0.8019,0.50–0.99,11,Active,1.0,-5.0,-15,1516697.04,0.10552952955004569
ACC00979,R24,Financial services,91,559497.23,1.2369,1.00–1.49,4,Active,0.3333333333333333,6.666666666666667,0,563053.4500000001,0.3345648733003552
ACC00980,R09,Manufacturing,559,3431419.73,0.3723,0.15–0.49,3,Active,0.3333333333333333,15.0,25,930247.27,0.1283244526155002
ACC00981,R08,Hospitality,514,3142321.38,0.471,0.15–0.49,7,Active,1.0,1.6666666666666667,-5,810491.76,0.13202901302732667
ACC00982,R21,Healthcare,69,421133.97,0.8542,0.50–0.99,5,Active,0.6666666666666666,10.0,0,170410.47,0.3566282838432959
ACC00983,R24,Manufacturing,220,1538905.12,2.0905,1.50–2.49,4,Active,0.6666666666666666,3.3333333333333335,-15,3833498.57,0.19769113492983434
ACC00984,R35,Financial services,164,1356863.56,0.7303,0.50–0.99,11,Active,1.0,0.0,-5,361383.8,0.17560896026464987
ACC00985,R15,Professional services,874,6189304.09,3.9188,2.50–5.00,7,Active,1.0,6.666666666666667,0,22370633.0,0.06269263842897949
ACC00986,R40,Manufacturing,442,3097480.05,4.2071,2.50–5.00,8,Active,1.0,1.6666666666666667,25,10311585.9,0.1007516861905899
ACC00987,R23,Retail,293,1985136.82,0.9553,0.50–0.99,12,Active,0.6666666666666666,8.333333333333334,10,1602090.62,0.3804917811850394
ACC00988,R45,Retail,345,2181604.64,1.2795,1.00–1.49,10,Active,1.0,10.0,25,2362919.42,0.13755395393648692
ACC00989,R09,Healthcare,306,2377797.4,4.2242,2.50–5.00,6,Active,1.0,3.3333333333333335,10,8903133.58,0.12147755693727408
ACC00990,R40,Retail,179,1203287.74,0.3164,0.15–0.49,12,Active,0.3333333333333333,8.333333333333334,5,464701.77,0.23224726635113635
ACC00991,R45,Logistics,210,1414829.81,0.5867,0.50–0.99,3,Active,0.6666666666666666,11.666666666666666,15,714832.28,0.21830438929740337
ACC00992,R30,Logistics,164,1629473.99,2.3005,1.50–2.49,10,Active,1.0,10.0,20,2367944.82,0.19914794837905073
ACC00993,R29,Retail,322,2330446.79,0.7911,0.50–0.99,9,Active,1.0,10.0,15,1067697.83,0.22972027234942183
ACC00994,R02,Healthcare,158,1023329.23,0.707,0.50–0.99,11,Active,0.6666666666666666,16.666666666666668,15,477120.87,0.22105813860217022
ACC00995,R25,Financial services,129,875139.35,0.9227,0.50–0.99,6,Active,1.0,-1.6666666666666667,0,320368.15,0.18180243153912218
ACC00996,R48,Retail,62,484157.9,1.3127,1.00–1.49,1,Active,1.0,6.666666666666667,0,457033.63,0.29155223495089033
ACC00997,R04,Hospitality,434,2907941.78,2.3407,1.50–2.49,7,Active,1.0,-5.0,5,5570381.57,0.10053457260704088
ACC00998,R29,Retail,117,913081.56,1.4506,1.00–1.49,9,Active,0.6666666666666666,5.0,-15,566676.61,0.19519886412189558
ACC00999,R38,Technology,165,1206571.17,1.2199,1.00–1.49,3,Active,1.0,3.3333333333333335,5,1154322.13,0.17779784689141676
ACC01000,R46,Technology,340,2701552.62,0.8997,0.50–0.99,5,Active,1.0,6.666666666666667,15,1180192.08,0.14247195055816003
ACC01001,R12,Financial services,62,398831.11,0.881,0.50–0.99,12,Active,0.3333333333333333,6.666666666666667,15,144282.59,0.3145358127595799
ACC01002,R01,Healthcare,239,2035017.8,1.0927,1.00–1.49,5,Active,1.0,3.3333333333333335,5,1642046.0,0.13936834489104222
ACC01003,R48,Logistics,391,2398323.5,0.7511,0.50–0.99,5,Active,0.6666666666666666,1.6666666666666667,20,1324940.55,0.11435000560836676
ACC01004,R21,Manufacturing,352,1683710.12,0.5562,0.50–0.99,11,Active,1.0,0.0,15,1308812.98,0.14919940567464698
ACC01005,R43,Hospitality,68,447865.84,0.3523,0.15–0.49,3,Active,1.0,3.3333333333333335,0,67292.01,0.4123784752951602
ACC01006,R14,Manufacturing,250,1557357.74,1.2399,1.00–1.49,1,Active,1.0,8.333333333333334,0,1553394.11,0.13600644071853107
ACC01007,R03,Healthcare,99,655480.73,0.8997,0.50–0.99,9,Active,0.3333333333333333,13.333333333333334,10,306398.0,0.25294314150654795
ACC01008,R34,Professional services,1833,14760036.39,0.4598,0.15–0.49,8,Active,0.6666666666666666,8.333333333333334,5,3283037.2600000002,0.08126154763086527
ACC01009,R22,Healthcare,319,1926677.34,0.6731,0.50–0.99,11,Active,1.0,5.0,15,1054752.51,0.13200383146800446
ACC01010,R43,Manufacturing,564,2877095.79,0.8294,0.50–0.99,10,Active,0.6666666666666666,15.0,15,2290242.2399999998,0.14124995673684096
ACC01011,R06,Manufacturing,120,884187.08,1.8002,1.50–2.49,1,Active,0.6666666666666666,-1.6666666666666667,0,1322139.68,0.25649888819573036
ACC01012,R38,Manufacturing,86,536782.28,0.2035,0.15–0.49,5,Active,0.6666666666666666,-1.6666666666666667,-5,122668.5,0.28183826214837054
ACC01013,R35,Healthcare,236,1616269.12,0.7291,0.50–0.99,4,Active,0.6666666666666666,8.333333333333334,15,814922.97,0.16767167438588437
ACC01014,R11,Technology,375,2484625.77,0.8596,0.50–0.99,4,Active,0.6666666666666666,11.666666666666666,25,1239190.45,0.12202789141474495
ACC01015,R40,Retail,218,1625247.12,1.715,1.50–2.49,5,Active,1.0,-11.666666666666666,-15,2923703.33,0.1307888751077566
ACC01016,R38,Retail,62,358918.41,0.4001,0.15–0.49,5,Active,0.6666666666666666,3.3333333333333335,-10,95723.95,0.3905021851147773
ACC01017,R12,Healthcare,246,1695829.74,0.6622,0.50–0.99,6,Active,1.0,11.666666666666666,25,865801.57,0.1776028372154629
ACC01018,R09,Healthcare,286,1547884.18,0.4551,0.15–0.49,4,Active,1.0,8.333333333333334,5,820314.7,0.17966579430354843
ACC01019,R18,Technology,137,909066.05,0.6359,0.50–0.99,11,Active,0.6666666666666666,11.666666666666666,15,400438.69,0.21096889383974599
ACC01020,R20,Technology,383,2193237.5,0.8536,0.50–0.99,7,Active,0.6666666666666666,5.0,-5,1356048.69,0.11394211451037083
ACC01021,R35,Hospitality,561,4256684.05,1.2846,1.00–1.49,2,Active,0.6666666666666666,10.0,5,3908471.43,0.11952333761137565
ACC01022,R16,Professional services,201,1521428.34,1.0134,1.00–1.49,8,Active,0.6666666666666666,10.0,15,1360539.6,0.19853616341088634
ACC01023,R31,Healthcare,110,928070.08,1.6771,1.50–2.49,1,Active,0.6666666666666666,13.333333333333334,15,1655854.65,0.16737521317272963
ACC01024,R39,Healthcare,215,2081500.68,1.2013,1.00–1.49,11,Active,1.0,1.6666666666666667,-10,1529843.94,0.13739153979405716
ACC01025,R43,Retail,458,2218073.7,1.1002,1.00–1.49,2,Active,0.6666666666666666,15.0,25,2930932.16,0.0921924573656268
ACC01026,R20,Healthcare,827,6472155.11,0.1859,0.15–0.49,6,Active,0.3333333333333333,13.333333333333334,20,1286662.67,0.10476542891780177
ACC01027,R41,Manufacturing,309,2112238.79,0.5436,0.50–0.99,1,Active,0.6666666666666666,6.666666666666667,5,1034081.84,0.1771797338392638
ACC01028,R46,Logistics,199,1577692.0,1.9915,1.50–2.49,2,Active,1.0,8.333333333333334,10,2165263.19,0.13683335692190038
ACC01029,R19,Professional services,312,2589263.51,0.8059,0.50–0.99,7,Active,1.0,1.6666666666666667,-5,958022.95,0.12873123163355488
ACC01030,R09,Technology,156,1285778.21,2.1911,1.50–2.49,2,Active,1.0,3.3333333333333335,0,1520718.01,0.14884312188836657
ACC01031,R13,Financial services,245,2151899.52,3.7155,2.50–5.00,11,Active,1.0,13.333333333333334,20,7795682.58,0.11427224996704655
ACC01032,R25,Professional services,169,1171220.92,1.2465,1.00–1.49,1,Active,1.0,-3.3333333333333335,10,808546.39,0.1732545784418814
ACC01033,R31,Healthcare,762,7487534.19,3.4949,2.50–5.00,3,Active,1.0,-5.0,-5,18470692.2,0.06915821887240743
ACC01034,R29,Professional services,319,1700450.89,0.7381,0.50–0.99,12,Active,1.0,3.3333333333333335,-5,972486.94,0.11990611334494874
ACC01035,R40,Professional services,384,3068282.72,1.7132,1.50–2.49,1,Active,0.6666666666666666,-1.6666666666666667,10,5100507.26,0.0987990373372073
ACC01036,R41,Technology,192,1760059.3,2.1337,1.50–2.49,12,Active,1.0,5.0,-5,3232634.77,0.139294172278539
ACC01037,R48,Professional services,310,2338339.37,0.8985,0.50–0.99,3,Active,1.0,3.3333333333333335,10,1104733.34,0.20366361040004954
ACC01038,R48,Manufacturing,112,793460.66,0.3166,0.15–0.49,1,Active,1.0,3.3333333333333335,15,102998.59,0.251173690241304
ACC01039,R40,Manufacturing,406,3101335.44,2.2503,1.50–2.49,3,Active,1.0,3.3333333333333335,-5,4419632.72,0.09859499950212697
ACC01040,R13,Professional services,90,467157.88,0.8117,0.50–0.99,12,Active,0.6666666666666666,13.333333333333334,15,272804.45,0.29207389310942117
ACC01041,R24,Technology,394,2861795.49,0.3748,0.15–0.49,5,Active,0.3333333333333333,11.666666666666666,-5,562578.88,0.15003243711853118
ACC01042,R14,Technology,230,1609067.11,0.5057,0.50–0.99,1,Active,1.0,10.0,15,654616.76,0.16144022754663748
ACC01043,R16,Retail,254,2130722.84,2.4842,1.50–2.49,3,Active,1.0,6.666666666666667,0,3169996.51,0.11952358966210527
ACC01044,R04,Retail,216,1564508.93,0.3452,0.15–0.49,5,Active,0.3333333333333333,10.0,15,316276.21,0.18517673881042362
ACC01045,R02,Manufacturing,146,954136.85,0.8443,0.50–0.99,4,Active,1.0,15.0,10,520476.23,0.23157534810437386
ACC01046,R11,Hospitality,176,1154468.28,2.3649,1.50–2.49,5,Active,1.0,0.0,0,2967444.66,0.2887943180998129
ACC01047,R46,Financial services,385,2978714.41,2.109,1.50–2.49,12,Active,1.0,1.6666666666666667,5,6333356.95,0.1416827704518615
ACC01048,R38,Logistics,575,3796219.74,1.4564,1.00–1.49,3,Active,1.0,-3.3333333333333335,-5,4116693.25,0.10570601389570107
ACC01049,R02,Financial services,151,1170060.11,0.1934,0.15–0.49,10,Active,0.6666666666666666,3.3333333333333335,-5,161698.1,0.23835086967557187
ACC01050,R26,Retail,221,1810291.47,1.3322,1.00–1.49,5,Active,1.0,-1.6666666666666667,0,1614487.07,0.14839554367559116
ACC01051,R03,Technology,67,440762.36,0.324,0.15–0.49,7,Active,1.0,5.0,5,104050.09999999999,0.2901650418500806
ACC01052,R07,Retail,789,5921261.3,1.2339,1.00–1.49,3,Active,1.0,5.0,-15,5211078.72,0.07752008835204013
ACC01053,R28,Hospitality,112,863456.98,0.9714,0.50–0.99,2,Active,0.6666666666666666,6.666666666666667,15,401285.09,0.39103168485643125
ACC01054,R40,Financial services,63,358977.56,0.402,0.15–0.49,3,Active,1.0,3.3333333333333335,10,91043.14,0.3043123656081912
ACC01055,R37,Logistics,211,1607994.01,3.2204,2.50–5.00,6,Active,1.0,5.0,0,5030474.82,0.13975895507253136
ACC01056,R07,Professional services,329,2572661.02,0.7371,0.50–0.99,9,Active,1.0,1.6666666666666667,10,1287136.63,0.15892018129564528
ACC01057,R18,Hospitality,782,5355223.21,0.9106,0.50–0.99,8,Active,0.6666666666666666,1.6666666666666667,0,3193848.17,0.11751705722051611
ACC01058,R04,Technology,228,1878606.35,0.6672,0.50–0.99,12,Active,0.6666666666666666,5.0,15,732290.76,0.15228689804419024
ACC01059,R28,Hospitality,384,2510780.8,2.0537,1.50–2.49,2,Active,1.0,5.0,5,4897433.74,0.13365790891044269
ACC01060,R04,Logistics,208,1487712.85,1.5814,1.50–2.49,3,Active,1.0,6.666666666666667,15,2831020.8,0.1829716967475671
ACC01061,R26,Technology,161,1086239.02,3.6426,2.50–5.00,8,Active,1.0,8.333333333333334,10,4969959.51,0.18213326757480178
ACC01062,R05,Financial services,236,1863247.51,1.2864,1.00–1.49,6,Active,1.0,5.0,5,1075986.14,0.1551464555329039
ACC01063,R02,Hospitality,173,993239.16,0.622,0.50–0.99,10,Active,1.0,6.666666666666667,15,450881.52999999997,0.17313110653893035
ACC01064,R23,Professional services,223,1376511.2,0.8058,0.50–0.99,2,Active,0.3333333333333333,13.333333333333334,5,990336.52,0.22189356231478183
ACC01065,R26,Healthcare,245,1792490.12,0.4157,0.15–0.49,5,Active,1.0,5.0,15,408112.69,0.19639270910755835
ACC01066,R33,Technology,239,1563849.99,1.1162,1.00–1.49,12,Active,0.6666666666666666,3.3333333333333335,5,1754193.96,0.16842035922931003
ACC01067,R01,Technology,133,929964.36,1.3528,1.00–1.49,3,Active,1.0,3.3333333333333335,5,969050.69,0.21067000620125031
ACC01068,R18,Hospitality,231,1917548.22,0.2417,0.15–0.49,11,Active,1.0,10.0,10,465089.08,0.23164656340712483
ACC01069,R17,Retail,227,877623.71,0.824,0.50–0.99,6,Active,1.0,3.3333333333333335,15,823230.65,0.19351257814664877
ACC01070,R08,Professional services,357,2258959.91,0.3569,0.15–0.49,2,Active,0.6666666666666666,6.666666666666667,20,556346.64,0.17673057036319548
ACC01071,R11,Hospitality,488,3666982.28,0.7876,0.50–0.99,12,Active,0.6666666666666666,11.666666666666666,20,1477171.58,0.12819415673884502
ACC01072,R05,Logistics,171,914804.09,0.6906,0.50–0.99,2,Active,1.0,-3.3333333333333335,0,599626.7999999999,0.2352966340722177
ACC01073,R30,Technology,71,401880.53,0.9418,0.50–0.99,10,Active,1.0,-3.3333333333333335,-10,289842.61,0.21875431052911054
ACC01074,R17,Professional services,279,1651167.4,1.7631,1.50–2.49,1,Active,1.0,8.333333333333334,0,2915289.79,0.11552392918289633
ACC01075,R38,Manufacturing,62,426563.96,0.9332,0.50–0.99,4,Active,1.0,0.0,-5,229983.0,0.2779981428492491
ACC01076,R05,Manufacturing,271,1394767.49,0.2631,0.15–0.49,1,Active,0.6666666666666666,3.3333333333333335,15,348868.76,0.16415121461944043
ACC01077,R38,Logistics,501,4296873.84,0.6214,0.50–0.99,7,Active,0.6666666666666666,5.0,0,1832334.03,0.10447915465436562
ACC01078,R45,Healthcare,1203,7357368.93,0.6526,0.50–0.99,7,Active,1.0,6.666666666666667,10,3899047.29,0.0947874226599581
ACC01079,R29,Manufacturing,534,4081129.68,0.945,0.50–0.99,9,Active,1.0,0.0,-15,1925040.44,0.10170530290194563
ACC01080,R29,Healthcare,79,411116.2,0.1997,0.15–0.49,1,Active,0.6666666666666666,8.333333333333334,25,216452.91,0.4194949568267777
ACC01081,R19,Healthcare,68,443648.33,0.6289,0.50–0.99,2,Active,0.6666666666666666,11.666666666666666,20,263086.68,0.2865525672733557
ACC01082,R39,Financial services,556,4135096.18,1.2931,1.00–1.49,8,Active,1.0,10.0,15,3998090.85,0.10659675675806665
ACC01083,R44,Healthcare,289,1925184.96,0.188,0.15–0.49,9,Active,0.3333333333333333,6.666666666666667,10,391994.58999999997,0.19726901836552246
ACC01084,R39,Financial services,198,1623147.18,0.6839,0.50–0.99,5,Active,0.6666666666666666,5.0,5,786905.11,0.18499550137612678
ACC01085,R33,Financial services,1128,8288423.99,0.696,0.50–0.99,5,Active,0.3333333333333333,6.666666666666667,15,4412985.5200000005,0.07290105082170702
ACC01086,R37,Hospitality,178,1152377.41,2.4883,1.50–2.49,4,Active,1.0,-3.3333333333333335,0,2177840.9699999997,0.2574283024912502
ACC01087,R33,Retail,318,2274776.37,0.8775,0.50–0.99,8,Active,0.6666666666666666,10.0,10,1301036.0,0.18947326425812047
ACC01088,R41,Professional services,135,612035.58,0.9278,0.50–0.99,10,Active,0.6666666666666666,3.3333333333333335,10,442321.88,0.19454867383152222
ACC01089,R26,Manufacturing,490,2966156.76,0.2313,0.15–0.49,9,Active,0.6666666666666666,0.0,-5,886066.49,0.1600187090589922
ACC01090,R11,Hospitality,200,1178979.84,0.5627,0.50–0.99,5,Active,0.6666666666666666,8.333333333333334,15,974516.2000000001,0.1688165019973791
ACC01091,R32,Healthcare,62,381032.73,1.4293,1.00–1.49,12,Active,0.6666666666666666,10.0,5,296944.72,0.2858747044958137
ACC01092,R15,Professional services,256,1689906.34,1.0063,1.00–1.49,11,Active,0.3333333333333333,8.333333333333334,20,1518347.3800000001,0.13899194620196684
ACC01093,R43,Retail,228,1122350.32,0.7659,0.50–0.99,8,Active,1.0,10.0,10,918307.52,0.17686297988515087
ACC01094,R35,Manufacturing,185,1108340.45,0.5703,0.50–0.99,7,Active,1.0,-5.0,-10,597655.8099999999,0.25499079756797766
ACC01095,R16,Logistics,70,357373.54,1.0063,1.00–1.49,3,Active,1.0,-3.3333333333333335,-5,557925.26,0.26756801547422665
ACC01096,R17,Logistics,122,750677.89,0.7784,0.50–0.99,10,Active,1.0,1.6666666666666667,10,434358.5,0.21106151102361714
ACC01097,R03,Professional services,772,5684149.0,1.0808,1.00–1.49,9,Active,1.0,11.666666666666666,15,5104452.41,0.10352773772143624
ACC01098,R30,Professional services,493,2511770.14,0.5189,0.50–0.99,9,Active,1.0,-1.6666666666666667,5,1631954.44,0.13554933509085937
ACC01099,R09,Logistics,148,1018422.74,1.2473,1.00–1.49,8,Active,1.0,6.666666666666667,5,626119.86,0.16822429944479877
ACC01100,R39,Hospitality,322,2942298.8,0.5106,0.50–0.99,5,Active,1.0,0.0,5,1194175.75,0.141222158775829
ACC01101,R13,Retail,289,2929222.5,1.8505,1.50–2.49,6,Active,0.6666666666666666,1.6666666666666667,0,3264073.37,0.13845621784242385
ACC01102,R30,Professional services,496,3293103.55,0.5718,0.50–0.99,4,Active,1.0,5.0,5,1909613.42,0.13539427107637464
ACC01103,R36,Technology,82,788349.49,0.6247,0.50–0.99,7,Active,1.0,8.333333333333334,20,246190.81,0.2911333647793285
ACC01104,R38,Professional services,142,1288866.54,0.5117,0.50–0.99,6,Active,1.0,0.0,0,366293.32,0.20147470229315967
ACC01105,R35,Financial services,266,2025409.88,0.2897,0.15–0.49,11,Active,0.3333333333333333,5.0,5,459159.11,0.19539338469625314
ACC01106,R31,Healthcare,215,1946441.21,2.1921,1.50–2.49,1,Active,1.0,-1.6666666666666667,5,2885126.7399999998,0.15690796572782625
ACC01107,R06,Technology,125,541916.94,0.3095,0.15–0.49,7,Active,0.6666666666666666,11.666666666666666,15,233567.11,0.2610159791630506
ACC01108,R40,Manufacturing,246,1529149.71,0.3253,0.15–0.49,2,Active,0.6666666666666666,0.0,0,593292.44,0.30091585695441586
ACC01109,R29,Financial services,326,2713772.0,1.5906,1.50–2.49,5,Active,1.0,0.0,5,3933212.69,0.11156009857079305
