quote_year,segment_type,segment,rate_band,accounts,renewals,renewal_probability
2023,Regional economic tier at quote,Higher unemployment,15-20%,327,252,0.7706422018348624
2023,Regional economic tier at quote,Higher unemployment,20%+,299,192,0.6421404682274248
2024,Regional economic tier at quote,Lower unemployment,<-1%,480,434,0.9041666666666667
2024,Regional economic tier at quote,Lower unemployment,-1 to 0%,0,0,
2024,Regional economic tier at quote,Lower unemployment,0-5%,399,371,0.9298245614035088
2024,Regional economic tier at quote,Lower unemployment,5-10%,517,459,0.8878143133462283
2024,Regional economic tier at quote,Lower unemployment,10-15%,452,374,0.827433628318584
2024,Regional economic tier at quote,Lower unemployment,15-20%,321,254,0.7912772585669782
2024,Regional economic tier at quote,Lower unemployment,20%+,309,197,0.6375404530744336
2024,Regional economic tier at quote,Middle unemployment,<-1%,491,458,0.9327902240325866
2024,Regional economic tier at quote,Middle unemployment,-1 to 0%,0,0,
2024,Regional economic tier at quote,Middle unemployment,0-5%,421,389,0.9239904988123515
2024,Regional economic tier at quote,Middle unemployment,5-10%,541,483,0.8927911275415896
2024,Regional economic tier at quote,Middle unemployment,10-15%,414,340,0.821256038647343
2024,Regional economic tier at quote,Middle unemployment,15-20%,332,248,0.7469879518072289
2024,Regional economic tier at quote,Middle unemployment,20%+,321,207,0.6448598130841121
2024,Regional economic tier at quote,Higher unemployment,<-1%,403,369,0.9156327543424317
2024,Regional economic tier at quote,Higher unemployment,-1 to 0%,0,0,
2024,Regional economic tier at quote,Higher unemployment,0-5%,401,363,0.9052369077306733
2024,Regional economic tier at quote,Higher unemployment,5-10%,408,348,0.8529411764705882
2024,Regional economic tier at quote,Higher unemployment,10-15%,450,378,0.84
2024,Regional economic tier at quote,Higher unemployment,15-20%,319,237,0.7429467084639498
2024,Regional economic tier at quote,Higher unemployment,20%+,321,205,0.6386292834890965
2025,Regional economic tier at quote,Lower unemployment,<-1%,460,423,0.9195652173913044
2025,Regional economic tier at quote,Lower unemployment,-1 to 0%,0,0,
2025,Regional economic tier at quote,Lower unemployment,0-5%,401,371,0.9251870324189526
2025,Regional economic tier at quote,Lower unemployment,5-10%,478,413,0.8640167364016736
2025,Regional economic tier at quote,Lower unemployment,10-15%,490,401,0.8183673469387756
2025,Regional economic tier at quote,Lower unemployment,15-20%,282,213,0.7553191489361702
2025,Regional economic tier at quote,Lower unemployment,20%+,333,221,0.6636636636636637
2025,Regional economic tier at quote,Middle unemployment,<-1%,478,436,0.9121338912133892
2025,Regional economic tier at quote,Middle unemployment,-1 to 0%,0,0,
2025,Regional economic tier at quote,Middle unemployment,0-5%,441,407,0.9229024943310657
2025,Regional economic tier at quote,Middle unemployment,5-10%,518,465,0.8976833976833977
2025,Regional economic tier at quote,Middle unemployment,10-15%,459,382,0.8322440087145969
2025,Regional economic tier at quote,Middle unemployment,15-20%,306,235,0.7679738562091504
2025,Regional economic tier at quote,Middle unemployment,20%+,338,218,0.6449704142011834
2025,Regional economic tier at quote,Higher unemployment,<-1%,457,422,0.9234135667396062
2025,Regional economic tier at quote,Higher unemployment,-1 to 0%,0,0,
2025,Regional economic tier at quote,Higher unemployment,0-5%,402,366,0.9104477611940298
2025,Regional economic tier at quote,Higher unemployment,5-10%,484,424,0.8760330578512396
2025,Regional economic tier at quote,Higher unemployment,10-15%,400,337,0.8425
2025,Regional economic tier at quote,Higher unemployment,15-20%,314,238,0.7579617834394905
2025,Regional economic tier at quote,Higher unemployment,20%+,259,157,0.6061776061776062
